ET,SA,SR,IA,FZ,V,P,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
0,-0.173795813,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-24.32887311,2137.473623,-33.44413492,0,-13.95276287,144.4694355,0.19329532,0,0
0,-0.166947922,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-19.08931475,2151.918805,-33.32963384,0,-13.95365857,631.7968266,0.195072178,0,0
0,-0.163898987,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-34.54622986,2124.897845,-33.63825713,0,-17.88910724,-760.0665384,0.192333071,0,0
0,-0.157822543,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-29.34434653,2123.147377,-33.28355318,0,-19.69463413,41.93295394,0.193354002,0,0
0,-0.150579196,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-20.22620414,2114.301324,-33.24914786,0,-16.40896563,164.4834802,0.193517996,0,0
0,-0.147182349,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-27.3255388,2126.031412,-32.57262887,0,-21.79294771,816.5332421,0.194573716,0,0
0,-0.141750392,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-31.82354468,2098.416737,-32.8780001,0,-24.50117432,378.8240641,0.193600058,0,0
0,-0.135211986,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-20.70572127,2073.270107,-32.8155135,0,-20.48585978,867.8369591,0.192660662,0,0
0,-0.130054292,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-28.62224312,2053.619104,-32.38490106,0,-26.16089566,794.5928739,0.192464744,0,0
0,-0.125724163,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-25.91316839,2066.114121,-32.05068618,0,-26.95208827,90.52442021,0.195230532,0,0
0,-0.119727427,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-23.60345178,2008.109846,-31.87621679,0,-26.32158987,430.9716418,0.19259199,0,0
0,-0.114028429,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-26.05835448,1960.080242,-31.69659666,0,-29.01478687,730.0876226,0.191491056,0,0
0,-0.109069864,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-23.0017446,1992.488055,-30.76981452,0,-31.20348926,-201.6935793,0.196520835,0,0
0,-0.103357277,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-24.89709714,1924.003213,-30.75814419,0,-31.93597391,719.8950497,0.193950457,0,0
0,-0.097306503,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-23.90828448,1829.559382,-30.30039287,0,-32.6613404,-709.6053037,0.190285767,0,0
0,-0.093084534,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-20.62483038,1885.393314,-29.59883764,0,-35.28683069,1282.439685,0.196814942,0,0
0,-0.087473356,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-23.02514558,1808.955826,-28.97281698,0,-36.4104234,508.5676327,0.194445417,0,0
0,-0.081080458,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-25.54275324,1716.275535,-28.6636362,0,-37.5337653,877.3232521,0.191917178,0,0
0,-0.077313296,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-20.60288966,1764.957524,-28.222632,0,-39.58077967,1900.602258,0.198478491,0,0
0,-0.071628806,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-22.79867358,1648.581164,-27.08909533,0,-39.48345435,246.9348308,0.194751602,0,0
0,-0.064641799,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-26.29532324,1575.287231,-26.14465722,0,-39.93117518,768.6356698,0.196054064,0,0
0,-0.059939966,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-25.22091454,1488.533155,-24.74882073,0,-39.42325287,1180.279394,0.194608092,0,0
0,-0.055610254,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-25.9264706,1430.050538,-24.61164792,0,-39.02068462,-198.3144086,0.195507323,0,0
0,-0.04913758,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-26.77328412,1306.036835,-22.69440793,0,-38.0701071,1214.22178,0.194752014,0,0
0,-0.043502451,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-27.37456247,1220.907431,-21.58936794,0,-35.43960707,1183.641557,0.19654956,0,0
0,-0.039551873,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-30.12096852,1110.335072,-20.18778619,0,-34.48429282,-16.55516747,0.19379207,0,0
0,-0.033087608,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-35.0268763,979.8962343,-18.70599039,0,-33.83584232,1092.593349,0.194652066,0,0
0,-0.02724356,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-24.56272302,872.5082077,-16.41395438,0,-27.44921485,1661.813388,0.19856583,0,0
0,-0.022841383,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-34.72462101,693.5207307,-15.31820935,0,-22.61336191,3632.422434,0.193109786,0,0
0,-0.017310697,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-43.09598521,558.5511474,-12.5283289,0,-22.38789517,1803.771409,0.195056227,0,0
0,-0.011451136,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-37.38374196,395.6148685,-10.09677722,0,-15.33446625,743.0636518,0.197282871,0,0
